tweet,sentiment
Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative
#lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral
Few Bevvies 2day in twn..great on a day off!!,positive
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive
good morning,positive
its the best show EVER!,positive
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral
I want to know when the auditions are Mander! Text or...reply please!,neutral
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
I miss my neice  can`t wait to see her bad n grown ****! Lol,negative
i need to get my computer fixed,neutral
really hopes her car`s illness is not terminal...,negative
no sir...i woulda put honey...but i don`t have any,neutral
who watched X-men origins: wolverine? i totally loved it! haha,positive
I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive
I`m sad that I missed you guys last night!,negative
Finally got a call for marriage counseling 3 days late....,neutral
ok then,neutral
_420 why baby?,neutral
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral
lost my tooth 2day whilst i was eating gum...oww,negative
happy 1 year! <3,positive
*phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative
I`m starving!! This diet is killing me but I can`t eat after 8pm,negative
i talk to you,neutral
im soo bored...im deffo missing my music channels,negative
nite nite bday girl  have fun at concert,positive
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral
should be sleeping.  lost my voice a couple day ago.,negative
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative
I`ve heard this fall. I`m waiting too!,neutral
more nightmares?  *huggles*,neutral
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative
going to bed its late and I have headache,negative
happy mother`s day to all moms out there...,positive
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
thanks. before the major chop.,neutral
just got up and updated my ipod,neutral
yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive
We never miss ICarly - my son has a huge crush on Miranda,positive
Saw James carville in the store today. His head is really that bald,neutral
yellow for   ? http://blip.fm/~5z05g,neutral
which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral
Feeling smooth like chrome,positive
Ew traffic,negative
@_Ra_Ra_ your not alone...i need coffee too.,neutral
Sounds like me,neutral
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
Walking to class. I hate not having a bike....especially mine.,negative
_nesmith,neutral
happy mother`s day to all the mothers in the world.,positive
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive
The exception for a short dude: Larenz fineass Tate yum,neutral
Yes i work 6 to 3...,neutral
Done at the spa   now meeting vic for some late lunch!,neutral
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive
Always have wanted to go to Oz,neutral
Thx,neutral
http://twitpic.com/4jaz5 - Cool... luv it,positive
that`s why I need to be there...To represent the Blackberries,positive
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral
If only we could ever actually be allowed to stay here and do that,neutral
Let me know how that turns out!!,neutral
was that sass I detect?  As long as it isn`t back sass! Haha,neutral
Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral
I`m not sleeping at all until  accepts my appology,negative
#powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral
going to shower because i don`t want to smell at school tomorrow,neutral
Sigh... you know I am...,neutral
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral
just got home from work.... and is chugging down a big bottle of apple juice.,neutral
Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive
it was only once for my big brother...and I`m done now,neutral
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral
FTSK and Mercy Mercedes were amazing tonight.. as always,positive
hope he is ok!,positive
can`t school just be done already? it hurts too much... seeing him every day,positive
Hell Yeah!,neutral
HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral
i know!!,neutral
huh what the ****? Smelly? Noooo. I love alex Vixon,neutral
HAPPY MOTHERS DAY.!,positive
Thanks,positive
twittering after 2 days!,neutral
Getting ready for week  Its too nice today to be stuck inside working!,positive
I am tres depressed,negative
Happy Mothers Day people. i love my mom a lot still,positive
I`m sorry to hear that.,negative
Is getting the hang of Twitter.,neutral
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
I want it BACK NOW!: http://bit.ly/PP1WZ,neutral
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative
HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
what`s goin on hun?  I`m worried about you,negative
Im not bannished... but I am at work till 6,negative
tonight in party w/ my girls (minus vita),positive
why not now you made me sad I thought you`d be jumping for joy,neutral
Simple my a#@,neutral
_ i am glad to break my twitter virginity with you two.,positive
Dinner with the fam... I have missed them,negative
Hell yeah Kellynn got a Twitter. Finally.,neutral
Ship. I`m stuck.,negative
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative
today is a busy day. exhausting!,negative
Sorry to hear ur flight got cancelled  that blows!!!,negative
ohh my tooth is hurts ohh  im sad it very hurts,negative
u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative
Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral
sore throat. Planning the TET outing to Marwell though...good times,neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative
There!,neutral
?sucks!?..,negative
whens the sway sway winner announced?,neutral
K will check it out...,neutral
I Miss Daddy and Mommy,negative
I just realized that I can`t forward text msgs with my iPhone.,neutral
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative
seriously bored without anyone to talk to... but not tired enough for sleep,negative
I am lost. Please help me find a good home.,negative
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative
LMAO... Smh!  that one threw me off.,neutral
oh nice going!,positive
Is getting ready for work... Working all weekend,neutral
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
i agree with you!,positive
I only do computers. Am hopeless at everything else,negative
_2nd aww thanks!,positive
Sorry RB is on PS3 for me,negative
I saw amazing heeels. But they were too big,neutral
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative
dang last url went down  ? http://blip.fm/~7aigm,negative
Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative
my boss. She`s moving to NYC,neutral
this is sooo crazy i have fever..,negative
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative
I think i need some new friends,neutral
Looking forward to your gig in Ireland!!!  See ya there!,neutral
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive
aww  you loooove me,positive
awesome lucky you,positive
l`m on 3 days too matt. No fun this weekend.,negative
u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral
I feel your pain. Mine is the same way,negative
comes home in two days,neutral
Sadly no. It didn`t come with one...,negative
Cant wait to see my boy tomorrow,positive
ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral
aww I miss driving down elmwood,negative
Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive
_30439 I really wish I could go!,positive
I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative
This has made my night!!  Way too funny!!,positive
Woo CAVS.  Happy Mother`s Day!,positive
I make that same face when I get home and your mom is watching soaps.,neutral
I have to go to work now.,neutral
I can`t believe you went and got boba without me.,neutral
Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive
19 days and counting,neutral
sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative
BRAINFREEZE,neutral
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral
perky purple nail polish isn`t as perky when its chipped,neutral
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative
I hate the dentist,negative
I`m taking a twitter break. Cell is dying,negative
qood morninq,neutral
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral
needs more followers,neutral
I wish I could get my nails done  stupid job,negative
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,neutral
the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral
Have a good one,positive
Dosen`t Want To Go To Work Tomorrow,negative
Daniel has won DSDS. His voice is great.,positive
[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,neutral
was hoping to go to Red Lobster this weekend,neutral
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive
I sure do hope it becomes 4:20 this afternoon ...,positive
it means that you are now FAMOUS. Congrats!,positive
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative
tamlyn wishes she was as cool as my sock draw,positive
so no rice or crusty bread with the chili .... aawww,neutral
come and save me from my packing please?!,neutral
a mouth for sure,positive
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral
pancakes!! with lemon and sugar thanks!,positive
I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative
Goodmorning,positive
Took a shift tomorrow.    I don`t really feel like working right now.,negative
Saw a black snake in the garden.  Went back for a picture and it was gone,neutral
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive
No waterfront anymore   faccia luna and clarendon will have to do,negative
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive
Slipped up and caught the flu  feeling like poop!,negative
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,neutral
aaaaaw i want to live in the USA,neutral
Morning tweeple,positive
Now you only have 2 hours to sleep...  - Rest if you need it.,positive
I don`t want to sit at home on prom night. Someone hang out with me,negative
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive
concert tonight  chackin out and not coming tomorrow!,neutral
what happened? I thought you were coming back today....,neutral
lol dammit  well then next time then,negative
lol. just don`t ever forget me,positive
Still jealous,negative
http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,negative
NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,negative
this week of mine was not easy!  but finally it`s over! (:,negative
Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,positive
In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,positive
but you always have lee. Let`s go to Paris,neutral
you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,positive
cooking with my dad  having lots of fun in the kitchen together,positive
Bouncing Rush makes me feel nauseous,negative
Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,positive
playing singstar without my fave duetter,negative
Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,positive
FIL 461 with cool people like me,positive
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,positive
i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,neutral
my son got stung by a bug for the first time  his little finger is slightly swollen.,negative
it was hours ago i came in.... and it`s only now i realised when i went to buy something online,neutral
oh just referring to our lil exchange on LJ with regards to twitter archive postings.,neutral
Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,negative
Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,positive
Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,negative
I`m missing crab legs and attending my going away instead!,negative
Hicks are mean!,negative
I`m up. I have a plan to transform my bedroom today. Random.,neutral
thats another sponsor,neutral
No it`s not sad. Should make you proud,negative
is home alone.. Doing hw,neutral
the plan to not spend money is not going well,negative
uploading all my bamboozle pictures of facebook,neutral
congratulations ! you guys finish a month early than we do. booo,positive
but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,negative
_Marie Wish I could make it too!!! I hate my commute sometimes,neutral
workin a long day today... hopefully i can make some good tips,positive
but it all went too quick and there wasn`t a chance lol,negative
Hates headaches! Maybe I`m not ready to rock,negative
Thanks for the support,positive
there`s really no android twitter app of Tweetie`s calibre,neutral
Nyappy mother`s day to your mom`s.,positive
yeah.... and im gonna take ur picture off my ipod baby..,neutral
traumatizing moment of my childhood. my dogs massacred baby bunnies and my brother and i got out the bb gun...,negative
lol same here....wish there was a way to microsize everything...lol,neutral
About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,neutral
im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,negative
He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,negative
I miss her alot and its only been one day,negative
sounds like you all had a great night . i`m glad it was successful,positive
Thanks for sharing that,positive
you should say mlia instead of fml  i hope you find it soon,positive
nah jkin he`s hot! so... bored now,neutral
Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,positive
yes i have read them many times.,neutral
Cuz you play a grown up on Twitter?,neutral
i am living in ignorance  :@,negative
nope... it is telling you that you want cameo creams,neutral
AWWWW  we`re gonna miss you!,negative
WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,positive
today was a lovely day! I had fun with  and  this evening!,positive
Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,negative
it was amazing,positive
@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,neutral
I`m sick and sad .... missing out on Martini Lounge tonight,negative
Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,neutral
Really wishes he had some spare cash to buy the new Punch Out for Wii,negative
So sorry to hear about your mom! that really sucks,negative
I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!,positive
Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,negative
I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,negative
sweet dreams,positive
hay wats ur AIM? we should chat,neutral
. Okay kool... I might be touring all summer long but we can make it happen!,neutral
IN PAIN. my big toe got stomped on during the hokey cokeu. it`s throbbing. anyone have any suggestions to heal it?,negative
Having dinner with my grandma since I couldn`t be with my mum.,neutral
haha thanks  its for history and its on how the invention of television has influence america lol,positive
yea so wassup,neutral
Shopped til i dropped....come bac sunshine i miss u,negative
Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,neutral
Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,neutral
Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,positive
Yes! Join us! All we require is a cupcake donation...,neutral
i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,negative
_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,negative
Can`t access your site!,neutral
And the Sun is shinning.........at last,positive
nup no cd either.. just a whole bunch of zeros and ones you can have for free,neutral
My graduation day... And i feel like a failure...,neutral
ops   that lol wasnt supposed to got to twitter,neutral
What are u going to do today my girl?,neutral
why doesnt he want me anymore,negative
bad hair day,negative
.....headache,negative
sorry guys i didn`t sign in for a while  sorry every1,negative
mozart`s requiem!,neutral
_a_michael Hey! thanks for another great day! I`m going to sleep now! I`ll chat with you tomorrow!  Sweet dreams!,positive
no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYOU.,neutral
happy mother`s day mothers.,positive
<---My expression watching this again: http://tinyurl.com/eqbwe,neutral
Stupid bipolar weather ruined my day off,negative
I didn`t want to tell you but I think it`s your body odour,negative
nice beta for easports still no news on the online for madden,neutral
thats pretty bad quality and probably the worst pic u posted till date,negative
I missed your calls,negative
Unfortunately for us it looks like there are NO funny people on twitter  Should we move to FB or start our own...flitter,negative
just came back from karaoke & eating dinner with emily. it was sooooo much fun,positive
Discrimination is not a bad thing. I`ve learned to say no. My children would say I mastered that years ago,positive
sure i can talk....the fabulous **** part though is out  sorry dear,neutral
Just got back from working out. I`m feeling pretty good. work at 4:30,positive
Ahhh My Satz blend didn`t save,neutral
DH is just about finished making his giant Trio candy bar. Thank the heavens. His work mates are in for a treat tomorrow!,positive
My ear are popping.,neutral
working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff,negative
I submitted my resume the same day and saw no answer back. Oh well...,negative
Catching up on 2 weeks of LOST and Grey`s!!    House is quiet again.,neutral
I love when ryans a housewife. Makes me smile.,positive
Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!,negative
boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,negative
hey Phillll! Wazzuppppp?!,neutral
missed out on westcott micro apollo too,negative
.. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,positive
_ranjan Did I ever mention what a nice and awesome dude you are?,positive
Hello Gorgeous GIRL! Nice new pic!  HOw are you today,positive
Ok that **** duet was hysterical LOL,positive
michelle is a hot mama with chichis grande,neutral
no one I know likes boiled peanuts t.,neutral
I`m sleepy but is feeling under the weather! ugh! These **** tonsils. I need some company or somebody to talk too!,negative
Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took,neutral
Counting the hours of lost sunshine until the Weekend,negative
Hoooray!  I`m hooked already,neutral
Ok then have a good day,positive
I agree. Everybody would`ve been excited and then it goes... ohhhh nooooo..... MS screws up again..,neutral
Edge left me off the contributors list in this month`s issue.  x FFS. <- Werd,neutral
im back to this z-index problem...again,negative
is anyone out there??  so bored at work...,negative
Am hating my life at the moment. There`s only so many NOs my delicate little mind can take,negative
www.myspace.com/fashionisthenextcity  check out and started new tee`s  limited edition in different ways !! check facebook group too,neutral
'They' being the husband or the girl?,neutral
Thinking of what I should do in Vegas??? Any good ideas or places that are a most see!??,neutral
first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,negative
Hi to one kiwi artist from another kiwi artist,neutral
says Happy Mother`s Day to all Moms out there  http://plurk.com/p/stkr2,positive
oooo ok   why  havent you accepted my friends request,neutral
sorry to tweet about BGT but poor wonderful crazy weird Greg  so not fair. the silly little girl is never going to cope. urgh. NOT FAIR.,negative
no,neutral
_michele thanks for that...am now following them...love good causes,positive
Not available in my area  I would too,negative
Its Friday! Only 5 more hours until I`m free!.....until tomorrow.  oh well,neutral
meeting just in time that iï¿½m trying to win something  prize`s friday!,neutral
Waiting for 5:00 & having cramps,negative
philosophy final today! thank you  it`s 3 days now!!!!,positive
_what_ did you do?  Let me guess... you skipped sports and bought a new pinkish outfit?,neutral
where is the rain please come out,neutral
My pleasure,neutral
1st presentation for senior boards? FML,negative
Wide awake and grouchy as ****.,negative
I don`t have the app that does it,neutral
out for supper tonight with kurumi in 10 minutes,neutral
_kap But I think it`s cute.  Do this every night okay?,positive
Is happy...Skool just let out..! Today was my last day..! Yippee! R.I.P Jackson Tyler Morris..! Always Loved And Never Forgotten..!,positive
hi mariah,neutral
_Yours13 I`m not at home with my cats right now!,neutral
wheres the music mannnn!!?? my inbox is still empty,negative
What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I`m such a rebel!,negative
nice one !,positive
Exam 1 today. Going to get my license renewed  The birthday is getting closer!,neutral
Gotta get creative with these mothers day gifts. I`m gonna win them over with my love!!,positive
